Details,Posting Date,Description,Amount,Type,Balance,
DEBIT,11/1/2017,NWS NJT NY PENN STA871 NEW YORK NJ   176717  11/01,-$32.50,DEBIT_CARD,601.94,
,,,,,,
DEBIT,11/1/2017,DEFARIA CAR & TRUCK LONG BRANCH NJ           10/31,-$77.61,DEBIT_CARD,634.44,VAN RENTAL
DEBIT,11/1/2017,DEFARIA CAR & TRUCK LONG BRANCH NJ           10/31,-$22.00,DEBIT_CARD,712.05,VAN RENTAL
,,Total,-$99.61,,,
,,,,,,
DEBIT,11/1/2017,DEFARIA HARDWOOD FLOOR LONG BRANCH NY        10/30,-$98.58,DEBIT_CARD,734.05,
,,,,,,
CREDIT,11/1/2017,Online Transfer from CHK ...8235 transaction#: 6635954085,$300.00,ACCT_XFER,832.63,
,,,,,,
DEBIT,11/2/2017,EQUIFAX CONSUMER 866-640-2273 GA             11/02,-$14.95,DEBIT_CARD,573.18,Office expense
DEBIT,11/2/2017,GOOGLE *SVCSAPPS_top cc@google.com CA        11/02,-$10.00,DEBIT_CARD,653.62,
,,,-$24.95,,,
DEBIT,11/2/2017,THE HOME DEPOT 8466 SYOSSET NY       559052  11/02,-$16.88,DEBIT_CARD,588.13,MATERIAL
DEBIT,11/2/2017,THE HOME DEPOT 8466 SYOSSET NY       966336  11/02,-$48.61,DEBIT_CARD,605.01,MATERIAL
DEBIT,11/2/2017,THE HOME DEPOT 8466 SYOSSET NY       299219  11/02,$16.88,DEBIT_CARD,618.82,MATERIAL
,,,,,,
,,,,,,
DEBIT,11/2/2017,LIRRNYTICKETS JAMAICA NY                     11/01,-$27.00,DEBIT_CARD,663.62,TRANSPORTATION
DEBIT,11/2/2017,UBER   *US NOV01 Z7JE 800-592-8996 CA        11/01,-$9.11,DEBIT_CARD,690.62,TRANSPORTATION
,,,-$36.11,,,
DEBIT,11/2/2017,DEFARIA CAR & TRUCK LONG BRANCH NJ           11/01,-$77.61,DEBIT_CARD,699.73,VAN RENTAL
,,,,,,
DEBIT,11/2/2017,WOODLAWN FLOOR SUPPLY I BRONX NY             11/01,-$120.18,DEBIT_CARD,777.34,MATERIAL
,,,,,,
DEBIT,11/2/2017,STATE OF THE ART CAR W AMITYVILLE NY         10/31,-$21.30,DEBIT_CARD,897.52,AUTO MATAINANCE
,,,,,,
CREDIT,11/2/2017,Online Transfer from CHK ...8235 transaction#: 6639767797,$300.00,ACCT_XFER,918.82,PAYROLL EXPENSE
,,,,,,
,,,,,,
DEBIT,11/3/2017,NJT NY PENN STA   0125 NEW YORK NY           11/02,-$32.50,DEBIT_CARD,228.61,TRANSPORTATION
DEBIT,11/3/2017,LIRRNYTICKETS JAMAICA NY                     11/02,-$8.75,DEBIT_CARD,261.11,TRANSPORTATION
,,,-$41.25,,,
DEBIT,11/3/2017,DEFARIA CAR & TRUCK LONG BRANCH NJ           11/02,-$77.61,DEBIT_CARD,269.86,VAN RENTAL
DEBIT,11/3/2017,DEFARIA CAR & TRUCK LONG BRANCH NJ           11/02,-$70.36,DEBIT_CARD,347.47,VAN RENTAL
,,,,,,
DEBIT,11/3/2017,CARIBE PARADISE TRUST 619-683-2470 NV        11/02,-$255.35,DEBIT_CARD,417.83,OFFICE EXPENSE
,,,,,,
CREDIT,11/3/2017,Online Transfer from CHK ...8235 transaction#: 6643728521,$100.00,ACCT_XFER,673.18,PRETTY CASH
,,,,,,
,,,,,,
DEBIT,11/6/2017,RETURNED ITEM FEE FOR AN UNPAID $50.00 ITEM - DETAILS: SYNCHRONY BANK   PAYMENT                    PPD ID: 1061537262,-$34.00,FEE_TRANSACTION,-2239.87,BANK SERVICE CHARGE
DEBIT,11/6/2017,INSUFFICIENT FUNDS FEE FOR A $171.77 RECURRING CARD PURCHASE - DETAILS:       1104GEICO  *AUTO 800-841-3000 DC         04563310022408425                                                                                           00,-$34.00,FEE_TRANSACTION,-2205.87,BANK SERVICE CHARGE
DEBIT,11/6/2017,"INSUFFICIENT FUNDS FEE FOR CHECK #1556 IN THE AMOUNT OF $1,000.00",-$34.00,FEE_TRANSACTION,-2171.87,BANK SERVICE CHARGE
DEBIT,11/6/2017,"INSUFFICIENT FUNDS FEE FOR CHECK #1557 IN THE AMOUNT OF $4,500.00",-$34.00,FEE_TRANSACTION,-2137.87,BANK SERVICE CHARGE
,,,-$136.00,,,
DEBIT,11/6/2017,GEICO  *AUTO 800-841-3000 DC                 11/04,-$171.77,DEBIT_CARD,-2103.87,AUTO INSURANCE GEICO
,,,,,,
CHECK,11/6/2017,CHECK 1556  ,"-$1,000.00",CHECK_PAID,-1932.1,DEPOSIT
CHECK,11/6/2017,CHECK 1557  ,"-$4,500.00",CHECK_PAID,-932.1,DEPOSIT
,,,,,,
DEBIT,11/6/2017,DEFARIA CAR & TRUCK LONG BRANCH NJ           11/04,-$50.00,DEBIT_CARD,3567.9,VAN RENTAL
DEBIT,11/6/2017,DEFARIA CAR & TRUCK LONG BRANCH NJ           11/04,-$108.50,DEBIT_CARD,3617.9,VAN RENTAL
DEBIT,11/6/2017,DEFARIA CAR & TRUCK LONG BRANCH NJ           11/04,-$59.50,DEBIT_CARD,3726.4,VAN RENTAL
DEBIT,11/6/2017,DEFARIA CAR & TRUCK LONG BRANCH NJ           11/04,-$77.61,DEBIT_CARD,3785.9,VAN RENTAL
DEBIT,11/6/2017,DEFARIA CAR & TRUCK LONG BRANCH NJ           11/03,-$77.61,DEBIT_CARD,3879.76,VAN RENTAL
,,,-$373.22,,,
DEBIT,11/6/2017,NJT NY PENN STA   0108 NEW YORK NY           11/03,-$16.25,DEBIT_CARD,3863.51,
,,,,,,
DEBIT,11/6/2017,CBE SUPPLY PLAINVIEW NY                      11/02,-$58.71,DEBIT_CARD,3957.37,MATERIAL
DEBIT,11/6/2017,CBE SUPPLY PLAINVIEW NY                      11/02,-$32.53,DEBIT_CARD,4016.08,MATERIAL
,,,-$91.24,,,
