Details,Posting Date,Description,Amount,
DEBIT,12/1/2017,SIX FLAGS GREAT ADVEN 732-928-2000 NJ        11/30,-17.65,
DEBIT,12/1/2017,ADP PAYROLL FEES ADP - FEES 2RKKR   2835064 CCD ID: 9659605001,-30.68,payroll Expense
,,,,
CHECK,12/1/2017,CHECK 1575  ,-658.61,Check
,,,,
DEBIT,12/1/2017,Online Transfer to CHK ...1290 transaction#: 6712692686 12/01,-500,payroll Expense
DEBIT,12/1/2017,Duane Reade STO 2760-6 NEW YORK NY   510210  12/01,-13.93,
DEBIT,12/1/2017,WEST END FAMILY PHARMA LONG BRANCH NJ        11/30,-23.2,
,,,-37.13,Personal
CREDIT,12/1/2017,Online Transfer from CHK ...8235 transaction#: 6712686533,1000,
,,,,
CREDIT,12/1/2017,ATM CHECK DEPOSIT 12/01 8 GREENE AVE AMITYVILLE NY,4950,
,,,,
,,,,
DEBIT,12/4/2017,INSUFFICIENT FUNDS FEE FOR A $14.95 RECURRING CARD PURCHASE - DETAILS:       1202EQUIFAX CONSUMER 866-640-2273 GA     04563310022408425                                                                                           00,-34,Bank service charge
DEBIT,12/4/2017,INSUFFICIENT FUNDS FEE FOR A $171.77 RECURRING CARD PURCHASE - DETAILS:       1204GEICO  *AUTO 800-841-3000 DC         04563310022408425                                                                                           00,-34,Bank service charge
DEBIT,12/4/2017,"INSUFFICIENT FUNDS FEE FOR CHECK #1576 IN THE AMOUNT OF $3,500.00",-34,Bank service charge
,,,-102,
DEBIT,12/4/2017,EQUIFAX CONSUMER 866-640-2273 GA             12/02,-14.95,office expense
DEBIT,12/4/2017,GOOGLE *SVCSAPPS_top cc@google.com CA        12/01,-10,internet svc
,,,,
DEBIT,12/4/2017,GEICO  *AUTO 800-841-3000 DC                 12/04,-171.77,car insurance
,,,,
CHECK,12/4/2017,CHECK 1576  ,-3500,Check
,,,,
DEBIT,12/4/2017,DEFARIA CAR & TRUCK LONG BRANCH NJ           12/03,-103.48,van rental
DEBIT,12/4/2017,DEFARIA CAR & TRUCK LONG BRANCH NJ           12/02,-77.61,van rental
,,,,
DEBIT,12/4/2017,Online Transfer to CHK ...9516 transaction#: 6713929481 12/04,-75,payroll expense
DEBIT,12/4/2017,Online Transfer to CHK ...1290 transaction#: 6713928592 12/04,-750,payroll expense
,,,,
DEBIT,12/4/2017,WEST END FLOOR SUPPLY NEW YORK NY            12/01,-168.36,material
DEBIT,12/4/2017,DEFARIA HARDWOOD FLOOR LONG BRANCH NY        11/29,-40.88,material
,,,,
DEBIT,12/4/2017,CARIBE PARADISE TRUST 619-683-2470 NV        12/02,-255.35,meals and entrat
,,,,
CREDIT,12/4/2017,Online Transfer from CHK ...8235 transaction#: 6720939505,500,
,,,,
,,,,
DEBIT,12/5/2017,INSUFFICIENT FUNDS FEE FOR CHECK #1578 IN THE AMOUNT OF $650.00,-34,Bank service charge
CHECK,12/5/2017,CHECK 1578  ,-650,Check
,,,,
,,,,
DEBIT,12/6/2017,INSUFFICIENT FUNDS FEE FOR A $8.99 CARD PURCHASE - DETAILS:       1205UNITED      016292580 800-932-2732 TX04563310022408425                                                                                           00,-34,Bank service charge
DEBIT,12/6/2017,UNITED      016292580 800-932-2732 TX        12/05,-8.99,travel expense
,,,,
,,,,
DEBIT,12/7/2017,"INSUFFICIENT FUNDS FEE FOR CHECK #1580 IN THE AMOUNT OF $3,500.00",-34,Bank service charge
CHECK,12/7/2017,CHECK 1580  ,-3500,Check
,,,,
DEBIT,12/7/2017,DOLLAR VOLUME LONG BRANCH NJ         301878  12/07,-33.48,
DEBIT,12/7/2017,APL* ITUNES.COM/BILL 866-712-7753 CA         12/07,-0.99,
,,,-34.47,personal
CREDIT,12/7/2017,ATM CHECK DEPOSIT 12/07 3550 STATE ROUTE 66 NEPTUNE NJ,4000,
,,,,
,,,,
CHECK,12/8/2017,CHECK 1581  ,-3500,
,,,,
DEBIT,12/8/2017,Online Transfer to CHK ...8235 transaction#: 6732290988 12/08,-200,payroll expense
DEBIT,12/8/2017,Online Transfer to CHK ...9516 transaction#: 6731795069 12/08,-160,payroll expense
DEBIT,12/8/2017,Online Transfer to SAV ...1046 transaction#: 6731761662 12/08,-100,payroll expense
,,,,
DEBIT,12/8/2017,DUTCH PRIME FOODS LONG BRANCH NJ             12/07,-117.89,
DEBIT,12/8/2017,IHOP #4776 NEPTUNE NJ                        12/07,-45.92,
DEBIT,12/8/2017,APL* ITUNES.COM/BILL 866-712-7753 CA         12/07,8.57,
,,,-163.81,personal
DSLIP,12/8/2017,DEPOSIT  ID NUMBER 659254,10000,
DSLIP,12/8/2017,DEPOSIT  ID NUMBER 659252,10000,
,,,,
,,,,
DEBIT,12/11/2017,"INSUFFICIENT FUNDS FEE FOR CHECK #1577 IN THE AMOUNT OF $2,500.00",-34,Bank service charge
,,,,
CHECK,12/11/2017,CHECK 1577  ,-2500,Check
CHECK,12/11/2017,CHECK 1583  ,-9000,Check
,,,,
DEBIT,12/11/2017,Online Transfer to CHK ...1290 transaction#: 6738115616 12/11,-150,payroll expense
DEBIT,12/11/2017,ATM WITHDRAWAL                       003628  12/11160 BRIGH,-200,petty Cash
DEBIT,12/11/2017,PEZAO CASA DE CARNES & LONG BRANCH NJ171311  12/10,-77.39,
DEBIT,12/11/2017,PEZAO CASA DE CARNES & LONG BRANCH NJ389921  12/10,-22.52,
DEBIT,12/11/2017,FINE FARE LONG BRANCH NJ             099185  12/09,-12.82,
DEBIT,12/11/2017,PEZAO CASA DE CARNES & LONG BRANCH NJ094361  12/09,-25.47,
DEBIT,12/11/2017,ROCKAFELLERS PIZZA 732-9231700 NJ            12/08,-26,
,,,-164.2,personal
DEBIT,12/11/2017,Online Transfer to CHK ...8235 transaction#: 6734109650 12/11,-100,payroll expense
,,,,
DEBIT,12/11/2017,ATM WITHDRAWAL                       002979  12/09160 BRIGH,-300,petty cash
,,,,
CHECK,12/11/2017,CHECK 1585  12/11,-2000,Check
CHECK,12/11/2017,CHECK 1584  12/11,-1100,Check
CREDIT,12/11/2017,ATM CHECK DEPOSIT 12/11 2360 JERICHO TPKE GARDEN CITY P NY,5970,
,,,,
,,,,
DEBIT,12/12/2017,PROG GARDEN ST   INS PREM                   PPD ID: 9409348088,-269.63,car insurance
,,,,
CHECK,12/12/2017,CHECK 1579  ,-600,Check
DEBIT,12/12/2017,RITE AID STORE - 3812 BRONX NY               12/12 Purchase $6.58 Cash Back $40.00,-46.58,
DEBIT,12/12/2017,CENTER STAGE DANCE AND OAKHURST NJ           12/12,-100,
,,,-146.58,personal
DEBIT,12/12/2017,EXXONMOBIL    47982780 EATONTOWN NJ          12/11,-17.91,Gas
,,,,
,,,,
CHECK,12/13/2017,CHECK 1587  ,-500,Check
CHECK,12/13/2017,CHECK 1582  ,-1500,Check
,,,,
DEBIT,12/13/2017,HOME DELI & CATERING GLENDALE NY     096464  12/13,-12.5,meals & entretaiment
DEBIT,12/13/2017,IZU SUSHI LONG BRANCH NJ                     12/12,-36.95,
,,,-49.45,
DEBIT,12/13/2017,ATM WITHDRAWAL                       004307  12/13163 MERRI,-200,Petty Cash
DEBIT,12/13/2017,ATM WITHDRAWAL                       004427  12/13160 BRIGH,-200,Petty Cash
DEBIT,12/13/2017,Online Transfer to CHK ...8235 transaction#: 6741063928 12/13,-200,payroll expense
,,,,
DEBIT,12/13/2017,DEFARIA CAR & TRUCK LONG BRANCH NJ           12/13,-77.25,
,,,,
DEBIT,12/13/2017,GOOGLE *Domains g.co/helppay# CA             12/13,-12,Internet svc
DEBIT,12/13/2017,GOOGLE *Domains g.co/helppay# CA             12/13,-12,Internet svc
DEBIT,12/13/2017,JDI*mypcbackup.com 888-8510954 MA            12/12,-11.94,office expenses
,,,,
,,,,
DEBIT,12/14/2017,HOME DEPOT       AUTO PYMT  722487387300426 WEB ID: CITIAUTFDR,-100,
,,,,
DEBIT,12/14/2017,FINE FARE LONG BRANCH NJ             414779  12/14,-94.03,personal
DEBIT,12/14/2017,ATM WITHDRAWAL                       004815  12/14160 BRIGH,-200,petty cash
,,,,
DEBIT,12/14/2017,DS SERVICES STANDARD C 800-4928377 GA        12/13,-29.8,office expenses
,,,,
DEBIT,12/14/2017,DEFARIA CAR & TRUCK LONG BRANCH NJ           12/14,-77.61,van rental 
DEBIT,12/14/2017,LONDON SUPPLIES LONG BRANCH NJ               12/13,-63.49,Material
,,,,
,,,,
CHECK,12/15/2017,CHECK 1592  ,-1800,Check
,,,,
DEBIT,12/15/2017,UTICA NATIONAL   INS PREM                   PPD ID: 1150476880,-2525,
,,,,
DEBIT,12/15/2017,Online Transfer to CHK ...9516 transaction#: 6749866166 12/15,-240,petty cash
