Details,Posting Date,Description,Amount,Type,Balance,Check or Slip #,Expense type
DEBIT,10/2/2017,LUBE IT ALL EATONTOWN NJ                     09/30,-89.67,DEBIT_CARD,15272.22,,Auto Other
,10/2/2017,,-89.67,,15272.22,Auto Other Total,-89.67
CREDIT,10/2/2017,ATM CHECK DEPOSIT 10/02 420 OLD POST RD BEDFORD NY,7879.75,ATM_DEPOSIT,15797.74,,Deposit
,10/2/2017,,7879.75,,15797.74,Deposit Total,7879.75
DEBIT,10/2/2017,HOBOKEN FLOORS LLC LONG BRANCH NJ    328911  10/02,-178.19,DEBIT_CARD,14000.62,,Material
DEBIT,10/2/2017,DEFARIA HARDWOOD FLOOR LONG BRANCH NY        09/29,-142.82,DEBIT_CARD,15510.08,,Material
DEBIT,10/2/2017,DEFARIA HARDWOOD FLOOR LONG BRANCH NY        09/28,-144.84,DEBIT_CARD,15652.9,,Material
,4/8/2253,,-465.85,,45163.6,Material Total,-465.85
DEBIT,10/2/2017,CVS/PHARMACY #00 JERICHO NY          002488  09/30,-11.48,DEBIT_CARD,15211.84,,Meals & Entertain
DEBIT,10/2/2017,STARBUCKS STORE 07235 JERICHO NY             09/30,-9.56,DEBIT_CARD,15223.32,,Meals & Entertain
DEBIT,10/2/2017,7-ELEVEN VALLEY STREAM NY            520217  09/30,-20.83,DEBIT_CARD,15232.88,,Meals & Entertain
DEBIT,10/2/2017,WENDY'S 107 STATEN ISLAND NY                 09/30,-18.51,DEBIT_CARD,15253.71,,Meals & Entertain
DEBIT,10/2/2017,DUNKIN #338451 Q35 LONG BRANCH NJ            09/30,-9.19,DEBIT_CARD,15361.89,,Meals & Entertain
DEBIT,10/2/2017,DOMINO'S 4974 731-776-8887 NJ                09/29,-35.1,DEBIT_CARD,15399.84,,Meals & Entertain
,7/17/2606,,-104.67,,91683.48,Meals & Entertain Total,-104.67
DEBIT,10/2/2017,J2 *METROFAX 888-929-4141 CA                 09/30,-7.95,DEBIT_CARD,3132.24,,Office Expense
DEBIT,10/2/2017,EQUIFAX CONSUMER 866-640-2273 GA             10/02,-14.95,DEBIT_CARD,3140.19,,Office Expense
DEBIT,10/2/2017,GOOGLE *SVCSAPPS_top cc@google.com CA        10/01,-10,DEBIT_CARD,14402.81,,Office Expense
,4/8/2253,,-32.9,,20675.24,Office Expense Total,-32.9
DEBIT,10/2/2017,SIX FLAGS GREAT ADVEN 732-928-2000 NJ        09/30,-17.65,DEBIT_CARD,3155.14,,Personal
DEBIT,10/2/2017,FINE FARE LONG BRANCH NJ             464978  10/02,-31.58,DEBIT_CARD,13969.04,,Personal
DEBIT,10/2/2017,SHOPRITE W LONGBRANC WEST LONG BRA NJ204649  10/01,-224,DEBIT_CARD,14178.81,,Personal
DEBIT,10/2/2017,PEZAO CASA DE CARNES & LONG BRANCH NJ463909  10/01,-83.19,DEBIT_CARD,15047.81,,Personal
DEBIT,10/2/2017,BRAZILIAN MARKET LONG BRANCH NJ      074257  10/01,-80.84,DEBIT_CARD,15131,,Personal
